@iter: 248, score: 86, epsilon: 0.08
@iter: 249, score: 94, epsilon: 0.08
@iter: 250, score: 178, epsilon: 0.08
@iter: 251, score: 107, epsilon: 0.08
@iter: 252, score: 120, epsilon: 0.08
@iter: 253, score: 105, epsilon: 0.08
@iter: 254, score: 100, epsilon: 0.08
@iter: 255, score: 120, epsilon: 0.08
@iter: 256, score: 107, epsilon: 0.08
@iter: 257, score: 97, epsilon: 0.08
@iter: 258, score: 199, epsilon: 0.07
@iter: 259, score: 102, epsilon: 0.07
@iter: 260, score: 94, epsilon: 0.07
@iter: 261, score: 132, epsilon: 0.07
@iter: 262, score: 108, epsilon: 0.07
@iter: 263, score: 130, epsilon: 0.07
@iter: 264, score: 122, epsilon: 0.07
@iter: 265, score: 115, epsilon: 0.07
@iter: 266, score: 112, epsilon: 0.07
@iter: 267, score: 101, epsilon: 0.07
@iter: 268, score: 130, epsilon: 0.07
@iter: 269, score: 126, epsilon: 0.07
@iter: 270, score: 117, epsilon: 0.07
@iter: 271, score: 103, epsilon: 0.07
@iter: 272, score: 136, epsilon: 0.06
@iter: 273, score: 110, epsilon: 0.06
@iter: 274, score: 117, epsilon: 0.06
@iter: 275, score: 123, epsilon: 0.06
@iter: 276, score: 139, epsilon: 0.06
@iter: 277, score: 130, epsilon: 0.06
@iter: 278, score: 124, epsilon: 0.06
@iter: 279, score: 118, epsilon: 0.06
@iter: 280, score: 124, epsilon: 0.06
@iter: 281, score: 104, epsilon: 0.06
@iter: 282, score: 117, epsilon: 0.06
@iter: 283, score: 103, epsilon: 0.06
@iter: 284, score: 118, epsilon: 0.06
@iter: 285, score: 108, epsilon: 0.06
@iter: 286, score: 93, epsilon: 0.06
@iter: 287, score: 109, epsilon: 0.06
@iter: 288, score: 91, epsilon: 0.06
@iter: 289, score: 98, epsilon: 0.05
@iter: 290, score: 104, epsilon: 0.05
@iter: 291, score: 92, epsilon: 0.05
@iter: 292, score: 98, epsilon: 0.05
@iter: 293, score: 96, epsilon: 0.05
@iter: 294, score: 96, epsilon: 0.05
@iter: 295, score: 107, epsilon: 0.05
@iter: 296, score: 172, epsilon: 0.05
@iter: 297, score: 130, epsilon: 0.05
@iter: 298, score: 141, epsilon: 0.05
@iter: 299, score: 199, epsilon: 0.05
@iter: 300, score: 170, epsilon: 0.05
@iter: 301, score: 111, epsilon: 0.05
@iter: 302, score: 120, epsilon: 0.05
@iter: 303, score: 118, epsilon: 0.05
@iter: 304, score: 121, epsilon: 0.05
@iter: 305, score: 106, epsilon: 0.05
@iter: 306, score: 95, epsilon: 0.05
@iter: 307, score: 97, epsilon: 0.05
@iter: 308, score: 106, epsilon: 0.05
@iter: 309, score: 96, epsilon: 0.04
@iter: 310, score: 99, epsilon: 0.04
@iter: 311, score: 114, epsilon: 0.04
@iter: 312, score: 124, epsilon: 0.04
@iter: 313, score: 138, epsilon: 0.04
@iter: 314, score: 120, epsilon: 0.04
@iter: 315, score: 125, epsilon: 0.04
@iter: 316, score: 111, epsilon: 0.04
@iter: 317, score: 136, epsilon: 0.04
@iter: 318, score: 88, epsilon: 0.04
@iter: 319, score: 109, epsilon: 0.04
@iter: 320, score: 96, epsilon: 0.04
@iter: 321, score: 169, epsilon: 0.04
@iter: 322, score: 190, epsilon: 0.04
@iter: 323, score: 126, epsilon: 0.04
@iter: 324, score: 79, epsilon: 0.04
@iter: 325, score: 103, epsilon: 0.04
@iter: 326, score: 107, epsilon: 0.04
@iter: 327, score: 114, epsilon: 0.04
@iter: 328, score: 109, epsilon: 0.04
@iter: 329, score: 115, epsilon: 0.04
@iter: 330, score: 20, epsilon: 0.04
@iter: 331, score: 106, epsilon: 0.04
@iter: 332, score: 194, epsilon: 0.04
@iter: 333, score: 182, epsilon: 0.04
@iter: 334, score: 96, epsilon: 0.03
@iter: 335, score: 102, epsilon: 0.03
@iter: 336, score: 147, epsilon: 0.03
@iter: 337, score: 153, epsilon: 0.03
@iter: 338, score: 101, epsilon: 0.03
